fonte_original,fonte_classe,linhas,total_liquidado
TRANSFERÊNCIA DA UNIÃO REFERENTE A ROYALTIES DO PETRÓLEO E GÁS NATURAL,petroleo,365,275667988.35
LEI 9478/97,petroleo,8,210222056.15
ROYALTIES,petroleo,789,160176350.85
RECURSOS ORDINÁRIOS,outros,43,119620226.2
ROYALTIES DA UNIÃO,petroleo,156,100921608.04
TRANSFERÊNCIAS DA UNIÃO REFERENTES ÀS PARTICIPAÇÕES NA EXPLORAÇÃO DE PETRÓLEO E GÁS NATURAL DESTINADAS AO FEP,petroleo,868,82739071.05
RECURSOS NÃO VINCULADOS DE IMPOSTOS (EXERC.CORRENTE),outros,7,50677648.09
ROYALTIES E PARTICIPAÇÃO ESPECIAL DE PETRÓLEO E GÁS NATURAL VINCULADOS À EDUCAÇÃO,petroleo,695,49655169.17
DESPESAS DE CAPITAL (0 -  ROYALTIES -  LEI 9478/97),petroleo,5,45405058.53
ROYALTIES ATÉ 5% - LEI 7.990/89,petroleo,16,43498754.71
CIP,outros,14,34797799.92
FUNDEB,outros,17,20916717.22
REC. EX. ANT.,outros,5,19678000.0
ROYALTIES EXCEDENTES,petroleo,131,18542349.76
TRANSFERÊNCIAS DA UNIÃO REFERENTES A COMPENSAÇÕES FINANCEIRAS PELA EXPLORAÇÃO DE RECURSOS NATURAIS (EXERC.ANTERIOR),petroleo,39,17398903.4
TRANS.UNIÃO COMPENSAÇ.FINAN.EXPLOR.RECUR.NATU,petroleo,42,16163570.73
TRANSFERÊNCIA DOS ESTADOS REFERENTE A RO,petroleo,6,15178465.02
ROYALTIES - TRANSFERÊNCIA ESTADO,petroleo,3,15004500.0
ROYALTIES DO ESTADO,petroleo,29,12479474.48
ROYALTIES PELO EXCEDENTE,petroleo,17,12252312.7
RECURSOS PRÓPRIOS,outros,230,11943963.35
DESPESAS DE CAPITAL (0 -  ROYALTIES  - LEI 9478/97),petroleo,1,11106568.73
RECURSOS DE EXERCÍCIOS ANTERIORES - ROYALTIES UNIÃO,petroleo,3,10906232.9
TRANSFERÊNCIAS DA UNIÃO REFERENTES ÀS PARTICIPAÇÕES NA EXPLORAÇÃO DE PETRÓLEO E GÁS NATURAL DESTINADAS AO FEP - LEI 9.478/1997 (EXERC.CORRENTE),petroleo,7,10903269.55
ROYALTIES PELO EXCEDENTE DA PRODUÇÃO,petroleo,15,10545138.0
TRANSFERÊNCIA DA UNIÃO REFERENTE A ROYALTIES DO PETRÓLEO E GÁS NATURAL - LEI 7990/89,petroleo,17,10095785.84
ROYALTIES - UNIÃO (1.720 - TRANSFERÊNCIAS DA UNIÃO REFERENTES ÀS PARTICIPAÇÕES NA EXPLORAÇÃO DE PETRÓLEO E GÁS NATURAL DESTINADAS AO FEP - LEI 9.478/1997 (EXERC.CORRENTE),petroleo,91,9639132.03
TRANSF. UNIÃO REFERENTE A COMPENSAÇÃO FINANCEIRA DE RECURSOS MINERAIS,petroleo,13,7954493.78
DESPESAS CORRENTES  (0 -  ROYALTIES -  LEI 9478/97),petroleo,22,7091009.48
"ROYALTIES DA UNIÃO
E 1500",petroleo,1,5978777.35
ROYALTIES VINCULADOS À EDUCAÇÃO,petroleo,8,5760600.0
TRANSFERÊNCIA DA UNIÃOREFERENTE A ROYALTIES DOPETRÓLEO E GÁS NATURAL,petroleo,12,5521951.2
RECURSOS NÃO VINCULADOS DE IMPOSTOS (EXERC.ANTERIOR),outros,1,5312062.8
RECURSOS DE EXERCÍCIOS ANTERIORES,outros,19,4887541.14
OUTROS RECURSOS NÃO VINCULADOS,outros,307,4591775.63
TRANSFERÊNCIA DA UNIÃO REFERENTE À COMPENSAÇÃO FINANCEIRA DE RECURSOS MINERAIS (EXERC.ANTERIOR),petroleo,6,4243435.14
RECURSOS DO EXERCÍCIO CORRENTE,outros,44,3974007.53
QESE,outros,22,3902288.01
COM. FIN.DOS ROYALTIES PELA PRODUÇÃO,petroleo,15,3862773.87
S. FORÇAS,outros,2,3739406.58
ROYALTIES DE PRODUÇÃO,petroleo,28,3410194.7
RECURSOS ORDINÁRIOS - TESOURO,outros,1,2800492.23
RECURSOS DA CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA,outros,9,2629131.87
TRANSFERÊNCIA DOS ESTADOS REFERENTE A ROYALTIES DO PETRÓLEO E GÁS NATURAL,petroleo,15,2419780.0
"RECURSOS PRÓPRIOS, 1704 ROYALTIES DA UNIÃO E 1705 ROYALTIES DO ESTADO",petroleo,3,2288234.64
TRANSFERÊNCIAS DOS ESTADOS REFERENTES A COMPENSAÇÕES FINANCEIRAS PELA EXPLORAÇÃO DE RECURSOS NATURAIS,petroleo,7,2223686.74
TRANSFERÊNCIAS DOS ESTADOS REFERENTES A COMPENSAÇÕES FINANCEIRAS PELA EXPLORAÇÃO DE RECURSOS NATURAIS (EXERC.ANTERIOR),petroleo,1,1959185.0
